x,y,z,T,tt
4100,9450,2607.5,0.64,0.177679654
4120,9450,2607.5,0.51875,0.056429654
4100,9470,2607.5,0.53,0.067679654
4120,9470,2607.5,0.485,0.022679654
4100,9450,2622.5,0.56,0.097679654
4120,9450,2622.5,0.475,0.012679654
4100,9470,2622.5,0.51,0.047679654
4120,9470,2622.5,0.49979167,0.037471324
4140,9450,2607.5,0.44,-0.022320346
4160,9450,2607.5,0.505,0.042679654
4140,9470,2607.5,0.49625,0.033929654
4140,9450,2622.5,0.45,-0.012320346
4160,9450,2622.5,0.52395833,0.061637984
4140,9470,2622.5,0.53125,0.068929654
4160,9470,2622.5,0.55583333,0.093512984
3920,9510,2607.5,1.17875,0.716429654
3900,9490,2622.5,0.86479167,0.402471324
3920,9490,2622.5,1.52,1.057679654
3900,9510,2622.5,0.44833333,-0.013987016
3920,9510,2622.5,1.36625,0.903929654
3940,9490,2607.5,1.65,1.187679654
3960,9490,2607.5,1.58,1.117679654
3940,9510,2607.5,1.82,1.357679654
3960,9510,2607.5,1.42,0.957679654
3940,9490,2622.5,1.67,1.207679654
3960,9490,2622.5,1.42,0.957679654
3940,9510,2622.5,1.78,1.317679654
3960,9510,2622.5,1.61,1.147679654
3980,9490,2607.5,1.3,0.837679654
4000,9490,2607.5,1.17,0.707679654
3980,9510,2607.5,1.41,0.947679654
4000,9510,2607.5,1.1,0.637679654
3980,9490,2622.5,1.24,0.777679654
4000,9490,2622.5,1.22,0.757679654
3980,9510,2622.5,1.46,0.997679654
4000,9510,2622.5,1.07,0.607679654
4020,9490,2607.5,1.1,0.637679654
4040,9490,2607.5,1.17,0.707679654
4020,9510,2607.5,0.9875,0.525179654
4040,9510,2607.5,0.94,0.477679654
4020,9490,2622.5,1.15,0.687679654
4040,9490,2622.5,1.23,0.767679654
4020,9510,2622.5,0.99708333,0.534762984
4040,9510,2622.5,1.08,0.617679654
4060,9490,2607.5,1.25,0.787679654
4080,9490,2607.5,0.55,0.087679654
4060,9510,2607.5,1.12,0.657679654
4080,9510,2607.5,0.75333333,0.291012984
4060,9490,2622.5,1.47,1.007679654
4080,9490,2622.5,0.72,0.257679654
4060,9510,2622.5,1.16,0.697679654
4080,9510,2622.5,0.81916667,0.356846324
4100,9490,2607.5,0.55,0.087679654
4120,9490,2607.5,0.45,-0.012320346
4100,9510,2607.5,0.51,0.047679654
4120,9510,2607.5,0.49,0.027679654
4100,9490,2622.5,0.52,0.057679654
4120,9490,2622.5,0.44,-0.022320346
4100,9510,2622.5,0.54,0.077679654
4120,9510,2622.5,0.46,-0.002320346
4140,9490,2607.5,0.45,-0.012320346
4140,9490,2622.5,0.47666667,0.014346324
